city_avg,global_avg,year
24.49,8.27,1796
25.18,8.51,1797
24.65,8.67,1798
24.81,8.51,1799
24.85,8.48,1800
24.49,8.59,1801
25.44,8.58,1802
25.22,8.50,1803
25.67,8.84,1804
25.01,8.56,1805
24.87,8.43,1806
24.25,8.28,1807
,7.63,1808
,7.08,1809
,6.92,1810
,6.86,1811
,7.05,1812
24.23,7.74,1813
23.91,7.59,1814
23.79,7.24,1815
23.30,6.94,1816
23.60,6.98,1817
23.94,7.83,1818
23.86,7.37,1819
23.91,7.62,1820
24.40,8.09,1821
24.33,8.19,1822
24.62,7.72,1823
25.10,8.55,1824
24.69,8.39,1825
24.88,8.36,1826
24.67,8.81,1827
24.61,8.17,1828
24.46,7.94,1829
24.39,8.52,1830
24.43,7.64,1831
24.66,7.45,1832
24.46,8.01,1833
24.59,8.15,1834
23.89,7.39,1835
24.12,7.70,1836
24.13,7.38,1837
24.29,7.51,1838
24.24,7.63,1839
24.24,7.80,1840
24.05,7.69,1841
24.22,8.02,1842
23.99,8.17,1843
24.23,7.65,1844
24.46,7.85,1845
24.90,8.55,1846
24.35,8.09,1847
24.35,7.98,1848
24.32,7.98,1849
24.38,7.90,1850
24.45,8.18,1851
24.43,8.10,1852
24.67,8.04,1853
24.73,8.21,1854
24.75,8.11,1855
24.21,8.00,1856
23.87,7.76,1857
24.59,8.10,1858
24.55,8.25,1859
24.41,7.96,1860
24.21,7.85,1861
23.59,7.56,1862
,8.11,1863
,7.98,1864
25.06,8.18,1865
25.00,8.29,1866
24.96,8.44,1867
25.07,8.25,1868
24.92,8.43,1869
24.42,8.20,1870
24.47,8.12,1871
24.48,8.19,1872
24.51,8.35,1873
24.56,8.43,1874
24.64,7.86,1875
24.84,8.08,1876
25.23,8.54,1877
25.15,8.83,1878
24.39,8.17,1879
24.58,8.12,1880
24.76,8.27,1881
24.33,8.13,1882
24.25,7.98,1883
24.35,7.77,1884
24.62,7.92,1885
24.53,7.95,1886
24.31,7.91,1887
24.63,8.09,1888
24.73,8.32,1889
24.46,7.97,1890
24.95,8.02,1891
24.59,8.07,1892
24.38,8.06,1893
24.75,8.16,1894
24.78,8.15,1895
25.12,8.21,1896
25.30,8.29,1897
24.87,8.18,1898
24.74,8.40,1899
25.44,8.50,1900
25.09,8.54,1901
25.06,8.30,1902
24.82,8.22,1903
24.53,8.09,1904
24.92,8.23,1905
25.09,8.38,1906
24.74,7.95,1907
24.66,8.19,1908
24.61,8.18,1909
24.42,8.22,1910
24.76,8.18,1911
25.00,8.17,1912
25.00,8.30,1913
25.02,8.59,1914
25.22,8.59,1915
24.75,8.23,1916
24.46,8.02,1917
24.74,8.13,1918
25.06,8.38,1919
24.99,8.36,1920
24.88,8.57,1921
24.74,8.41,1922
24.84,8.42,1923
24.89,8.51,1924
24.69,8.53,1925
25.14,8.73,1926
25.06,8.52,1927
25.06,8.63,1928
24.87,8.24,1929
24.86,8.63,1930
25.24,8.72,1931
24.68,8.71,1932
24.61,8.34,1933
24.81,8.63,1934
24.93,8.52,1935
24.99,8.55,1936
24.96,8.70,1937
24.91,8.86,1938
24.84,8.76,1939
24.92,8.76,1940
25.55,8.77,1941
25.23,8.73,1942
24.69,8.76,1943
24.92,8.85,1944
25.05,8.58,1945
24.97,8.68,1946
25.02,8.80,1947
25.21,8.75,1948
24.92,8.59,1949
24.85,8.37,1950
25.03,8.63,1951
25.12,8.64,1952
25.18,8.87,1953
24.92,8.56,1954
24.78,8.63,1955
24.73,8.28,1956
25.11,8.73,1957
25.29,8.77,1958
25.24,8.73,1959
25.07,8.58,1960
24.97,8.80,1961
24.90,8.75,1962
25.04,8.86,1963
25.09,8.41,1964
25.04,8.53,1965
25.32,8.60,1966
24.87,8.70,1967
25.00,8.52,1968
25.36,8.60,1969
24.95,8.70,1970
24.74,8.60,1971
25.22,8.50,1972
25.40,8.95,1973
24.94,8.47,1974
24.86,8.74,1975
25.13,8.35,1976
25.20,8.85,1977
25.07,8.69,1978
25.44,8.73,1979
25.45,8.98,1980
25.17,9.17,1981
25.42,8.64,1982
25.59,9.03,1983
25.08,8.69,1984
25.31,8.66,1985
25.51,8.83,1986
25.81,8.99,1987
25.50,9.20,1988
25.20,8.92,1989
25.25,9.23,1990
25.49,9.18,1991
25.16,8.84,1992
25.22,8.87,1993
25.22,9.04,1994
25.44,9.35,1995
25.41,9.04,1996
25.68,9.20,1997
26.01,9.52,1998
25.29,9.29,1999
25.34,9.20,2000
25.53,9.41,2001
25.76,9.57,2002
25.92,9.53,2003
25.25,9.32,2004
25.48,9.70,2005
25.42,9.53,2006
25.46,9.73,2007
25.35,9.43,2008
25.73,9.51,2009
25.71,9.70,2010
25.36,9.52,2011
26.04,9.51,2012
26.61,9.61,2013
